university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
Cardiff University,2017,140,55.7,https://www.topuniversities.com/universities/cardiff-university,United Kingdom,Cardiff,Europe,https://www.topuniversities.com/sites/default/files/cardiff-university_592560cf2aeae70239af4ae6_small.jpg,Public,Very High,9,7819.00,L,3350.00
UniversitÃ© Pierre et Marie Curie (UPMC),2017,141,57.5,https://www.topuniversities.com/universities/universite-pierre-et-marie-curie-upmc,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/universit-pierre-et-marie-curie-upmc_487_small.jpg,Public,Very High,9,8782.00,XL,4680.00
University of Basel,2017,141,55.6,https://www.topuniversities.com/universities/university-basel,Switzerland,Basel,Europe,https://www.topuniversities.com/sites/default/files/university-of-basel_46_small.jpg,Public,Very High,9,2875.00,M,1036.00
University of Aberdeen,2017,141,55.6,https://www.topuniversities.com/universities/university-aberdeen,United Kingdom,Aberdeen,Europe,https://www.topuniversities.com/sites/default/files/university-of-aberdeen_592560cf2aeae70239af4a8b_small.jpg,Public,Very High,11,5544.00,L,1175.00
Erasmus University Rotterdam ,2017,144,55.5,https://www.topuniversities.com/universities/erasmus-university-rotterdam,Netherlands,Rotterdam,Europe,https://www.topuniversities.com/sites/default/files/erasmus-university-rotterdam_190_small.jpg,Public,Very High,11,5932.00,L,2699.00
University of Pittsburgh,2017,145,55.1,https://www.topuniversities.com/universities/university-pittsburgh,United States of America,Pittsburgh,North America,https://www.topuniversities.com/sites/default/files/university-of-pittsburgh_500_small.jpg,Public,Very High,6,2590.00,L,4746.00
RWTH Aachen University,2017,146,55,https://www.topuniversities.com/universities/rwth-aachen-university,Germany,Aachen,Europe,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg,Public,Very High,19,12477.00,XL,2431.00
Pontificia Universidad CatÃ³lica de Chile (UC),2017,147,54.7,https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc,Chile,Santiago,Latin America,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg,Private,Very High,12,1072.00,L,2343.00
The Hebrew University of Jerusalem,2017,148,54.2,https://www.topuniversities.com/universities/hebrew-university-jerusalem,Israel,Jerusalem,Asia,https://www.topuniversities.com/sites/default/files/the-hebrew-university-of-jerusalem_256_small.jpg,Public,Very High,7,1176.00,L,2295.00
McMaster University,2017,149,54.1,https://www.topuniversities.com/universities/mcmaster-university,Canada,Hamilton,North America,https://www.topuniversities.com/sites/default/files/mcmaster-university_397_small.jpg,Public,Very High,7,5386.00,L,3819.00
Emory University,2017,149,54.1,https://www.topuniversities.com/universities/emory-university,United States of America,Atlanta,North America,https://www.topuniversities.com/sites/default/files/emory-university_185_small.jpg,Private,Very High,5,2264.00,L,2725.00
National Tsing Hua University,2017,151,53.9,https://www.topuniversities.com/universities/national-tsing-hua-university,Taiwan,Hsinchu City,Asia,https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg,Public,Very High,10,1551.00,L,1265.00
University of Waterloo,2017,152,53.8,https://www.topuniversities.com/universities/university-waterloo,Canada,Waterloo,North America,https://www.topuniversities.com/sites/default/files/university-of-waterloo_670_small.jpg,Public,Very High,18,10269.00,XL,1908.00
Indian Institute of Science,2017,152,53.8,https://www.topuniversities.com/universities/indian-institute-science,India,Bangalore,Asia,https://www.topuniversities.com/sites/default/files/indian-institute-of-science-iisc-bangalore_22878_small.jpg,Public,Very High,9,5.00,S,446.00
UniversitÃ© catholique de Louvain (UCLouvain),2017,154,53.4,https://www.topuniversities.com/universities/universite-catholique-de-louvain-uclouvain,Belgium,Louvain-la-Neuve,Europe,https://www.topuniversities.com/sites/default/files/universit-catholique-de-louvain-uclouvain_592560cf2aeae70239af4aed_small.jpg,Private,Very High,19,4524.00,L,1315.00
University of Vienna,2017,155,53.3,https://www.topuniversities.com/universities/university-vienna,Austria,Vienna,Europe,https://www.topuniversities.com/sites/default/files/university-of-vienna_652_small.jpg,Public,Very High,12,14514.00,XL,3637.00
"University of California, Irvine",2017,156,53.2,https://www.topuniversities.com/universities/university-california-irvine,United States of America,Irvine,North America,https://www.topuniversities.com/sites/default/files/university-of-california-irvine_86_small.jpg,Public,Very High,13,9323.00,XL,2775.00
University of Liverpool,2017,157,53.1,https://www.topuniversities.com/universities/university-liverpool,United Kingdom,Liverpool,Europe,https://www.topuniversities.com/sites/default/files/university-of-liverpool_350_small.jpg,Public,Very High,10,9500.00,L,2771.00
Dartmouth College,2017,158,53,https://www.topuniversities.com/universities/dartmouth-college,United States of America,Hanover,North America,https://www.topuniversities.com/sites/default/files/dartmouth-college_592560cf2aeae70239af4b1c_small.jpg,Private,Very High,8,997.00,M,836.00
University of Bath,2017,159,52.7,https://www.topuniversities.com/universities/university-bath,United Kingdom,Bath,Europe,https://www.topuniversities.com/sites/default/files/university-of-bath_47_small.jpg,Public,Very High,12,5326.00,L,1339.00
Universitat de Barcelona,2017,160,52.6,https://www.topuniversities.com/universities/universitat-de-barcelona,Spain,Barcelona,Europe,https://www.topuniversities.com/sites/default/files/university-of-barcelona_592560cf2aeae70239af4aaf_small.jpg,Public,Very High,15,6979.00,XL,3002.00
